,negative,positive
80000,0.0012964359484612942,0.9987035989761353
80001,0.0015013350639492273,0.9984986782073975
80002,0.0011246877256780863,0.9988753199577332
80003,0.0010641816770657897,0.9989357590675354
80004,0.015407536178827286,0.9845924973487854
80005,0.002389592118561268,0.9976104497909546
80006,0.0025900478940457106,0.997409999370575
80007,0.0010669692419469357,0.9989330172538757
80008,0.9995071887969971,0.0004927700501866639
80009,0.0011043819831684232,0.9988956451416016
80010,0.0014390983851626515,0.9985609650611877
80011,0.9995156526565552,0.0004843264468945563
80012,0.0023840407375246286,0.9976159334182739
80013,0.0015400625998154283,0.9984599351882935
80014,0.013072654604911804,0.986927330493927
80015,0.9883854389190674,0.011614608578383923
80016,0.0020234393887221813,0.9979766011238098
80017,0.9991507530212402,0.0008492266060784459
80018,0.0010748759377747774,0.9989251494407654
80019,0.001072417595423758,0.9989275336265564
80020,0.0011924043064936996,0.9988075494766235
80021,0.013072654604911804,0.986927330493927
80022,0.0010710994247347116,0.9989288449287415
80023,0.0011913832277059555,0.9988086223602295
80024,0.013072654604911804,0.986927330493927
80025,0.003829708555713296,0.9961703419685364
80026,0.0010982799576595426,0.9989017248153687
80027,0.013072654604911804,0.986927330493927
80028,0.0010831949766725302,0.9989168643951416
80029,0.013072654604911804,0.986927330493927
80030,0.0011207882780581713,0.9988792538642883
80031,0.9995114803314209,0.0004885313683189452
80032,0.013072654604911804,0.986927330493927
80033,0.9995149374008179,0.0004850156547036022
80034,0.0011520404368638992,0.9988479614257812
80035,0.04210806265473366,0.9578918814659119
80036,0.0010816401336342096,0.9989184141159058
80037,0.0011460455134510994,0.9988539218902588
80038,0.016758417710661888,0.9832415580749512
80039,0.001467206864617765,0.998532772064209
80040,0.001161600579507649,0.9988383650779724
80041,0.006215122062712908,0.9937849044799805
80042,0.013072654604911804,0.986927330493927
80043,0.9359210729598999,0.06407889723777771
80044,0.001415656297467649,0.9985843896865845
80045,0.0014730870025232434,0.998526930809021
80046,0.9928963780403137,0.007103689480572939
80047,0.0013351610396057367,0.9986648559570312
80048,0.0015237834304571152,0.9984762072563171
80049,0.0010780941229313612,0.9989219903945923
80050,0.00165509432554245,0.998344898223877
80051,0.0011167245684191585,0.9988833069801331
80052,0.0012435083044692874,0.9987565279006958
